,PERMIT_TYPE,REVIEW_TYPE,PROCESSING_TIME,BUILDING_FEE_PAID,ZONING_FEE_PAID,OTHER_FEE_PAID,SUBTOTAL_PAID,BUILDING_FEE_UNPAID,ZONING_FEE_UNPAID,OTHER_FEE_UNPAID,SUBTOTAL_UNPAID,BUILDING_FEE_WAIVED,ZONING_FEE_WAIVED,OTHER_FEE_WAIVED,SUBTOTAL_WAIVED,TOTAL_FEE,REPORTED_COST,COMMUNITY_AREA,CENSUS_TRACT,WARD,IS_PERMIT_VALID
2,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,79,450.0,50.0,0.0,500.0,0.0,0,0.0,0.0,0.0,0,0,0.0,500.0,35000.0,7,70700,32,1
5,PERMIT - SIGNS,SIGN PERMIT,70,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1500.0,3,830700,46,1
8,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,51,1101.66,50.0,0.0,1151.66,0.0,0,0.0,0.0,0.0,0,0,0.0,1151.66,261200.0,65,650200,13,1
9,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,74,864.0,75.0,626.0,1565.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1565.0,160000.0,5,50500,47,1
15,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,20,3000.0,75.0,0.0,3075.0,0.0,0,0.0,0.0,0.0,0,0,0.0,3075.0,350000.0,16,161200,30,1
17,PERMIT - SIGNS,SIGN PERMIT,4,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1500.0,7,832500,2,1
18,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,28,281900,42,1
39,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,26,1596.07,75.0,1878.0,3549.07,0.0,0,0.0,0.0,0.0,0,0,0.0,3549.07,350000.0,42,420800,20,1
41,PERMIT - SIGNS,SIGN PERMIT,101,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,900.0,4,40202,40,1
42,PERMIT - SIGNS,SIGN PERMIT,70,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1500.0,3,830700,46,1
43,PERMIT - SIGNS,SIGN PERMIT,70,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,1500.0,3,830700,46,1
44,PERMIT - SIGNS,SIGN PERMIT,70,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,1500.0,3,830700,46,1
60,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,20,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,11560.0,32,839100,42,1
65,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81500,42,1
67,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,37,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,42,1
70,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,42,420300,20,1
72,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,201,627.8,50.0,1000.0,1677.8,0.0,0,0.0,0.0,0.0,0,0,0.0,1677.8,100000.0,73,730600,34,1
78,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,14,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,2,1
79,PERMIT - SIGNS,SIGN PERMIT,5,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,20000.0,46,460500,8,1
81,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4,0.0,0.0,0.0,0.0,0.0,0,1200.0,1200.0,0.0,0,0,0.0,1200.0,100.0,61,610400,15,1
82,PERMIT - ELECTRIC WIRING,ELECTRICAL PLAN REVIEW,4,300.0,0.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,34000.0,16,161300,30,1
83,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,21,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,12750.0,8,81800,42,1
84,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,42,1
96,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,14,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,7450.0,8,81800,42,1
99,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,14,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,42,1
100,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,74,1500.0,75.0,0.0,1575.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1575.0,100000.0,22,220500,32,1
101,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,61,525.0,50.0,0.0,575.0,0.0,0,0.0,0.0,0.0,0,0,0.0,575.0,75000.0,67,671500,17,1
102,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,96,500.0,0.0,0.0,500.0,0.0,0,0.0,0.0,0.0,0,0,0.0,500.0,18000.0,5,50300,47,1
105,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,44,842400,21,1
108,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1,475.0,50.0,0.0,525.0,0.0,0,0.0,0.0,0.0,0,0,0.0,525.0,17500.0,44,440202,8,1
112,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,32,320400,42,1
113,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,28,281900,42,1
114,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,14,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,42,1
121,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,71,2500.0,150.0,1253.0,3903.0,0.0,0,0.0,0.0,0.0,0,0,0.0,3903.0,200000.0,56,560100,22,1
122,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,85,2500.0,1575.0,0.0,4075.0,0.0,0,0.0,0.0,0.0,0,0,0.0,4075.0,510000.0,24,242800,26,1
123,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,86,2500.0,1575.0,1253.0,5328.0,0.0,0,0.0,0.0,0.0,0,0,0.0,5328.0,510000.0,24,242800,26,1
125,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,45,175.0,0.0,0.0,175.0,0.0,0,0.0,0.0,0.0,0,0,0.0,175.0,3000.0,11,110501,45,1
126,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,99,500.0,50.0,0.0,550.0,0.0,0,0.0,0.0,0.0,0,0,0.0,550.0,12000.0,41,836300,5,1
127,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1,942.39,75.0,0.0,1017.39,0.0,0,0.0,0.0,0.0,0,0,0.0,1017.39,250000.0,24,241600,2,1
135,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2,1200.0,0.0,0.0,1200.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1200.0,15000.0,8,80100,43,1
144,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6,525.0,0.0,25.0,550.0,0.0,0,0.0,0.0,0.0,0,0,0.0,550.0,3200.0,34,841100,25,1
145,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,204,750.0,50.0,0.0,800.0,0.0,0,0.0,0.0,0.0,0,0,0.0,800.0,12500.0,71,711200,21,1
147,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,21,175.0,0.0,0.0,175.0,0.0,0,0.0,0.0,0.0,0,0,0.0,175.0,6000.0,16,160900,30,1
148,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,61,350.0,50.0,0.0,400.0,0.0,0,0.0,0.0,0.0,0,0,0.0,400.0,15000.0,41,410600,5,1
152,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,84,300.0,50.0,0.0,350.0,0.0,0,0.0,0.0,0.0,0,0,0.0,350.0,60000.0,53,530300,34,1
153,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2,175.0,0.0,0.0,175.0,0.0,0,0.0,0.0,0.0,0,0,0.0,175.0,35788.0,3,31400,46,1
154,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,73,425.0,75.0,0.0,500.0,0.0,0,0.0,0.0,0.0,0,0,0.0,500.0,20000.0,73,730201,21,1
156,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,15,175.0,0.0,0.0,175.0,0.0,0,0.0,0.0,0.0,0,0,0.0,175.0,4690.0,7,71500,43,1
157,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,14,750.0,50.0,0.0,800.0,0.0,0,0.0,0.0,0.0,0,0,0.0,800.0,100000.0,71,711500,21,1
161,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,15,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,2500.0,35,350100,4,1
163,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,13,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,14750.0,14,140800,33,1
168,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,50,2000.0,75.0,626.0,2701.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2701.0,330000.0,24,242100,1,1
172,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,97,3675.84,75.0,940.0,4690.84,0.0,0,0.0,0.0,0.0,0,0,0.0,4690.84,950000.0,24,241300,2,1
183,PERMIT - SIGNS,SIGN PERMIT,75,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1000.0,28,833000,27,1
184,PERMIT - SIGNS,SIGN PERMIT,75,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1000.0,28,833000,27,1
185,PERMIT - SIGNS,SIGN PERMIT,75,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1000.0,28,833000,27,1
186,PERMIT - SIGNS,SIGN PERMIT,75,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1000.0,28,833000,27,1
187,PERMIT - SIGNS,SIGN PERMIT,75,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1000.0,28,833000,27,1
195,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,73,1200.0,75.0,0.0,1275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1275.0,179000.0,8,81201,42,1
199,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,14,625.0,75.0,0.0,700.0,0.0,0,0.0,0.0,0.0,0,0,0.0,700.0,9000.0,31,843200,25,1
210,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,295,2000.0,75.0,626.0,2701.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2701.0,190000.0,27,837000,27,1
212,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,212,500.0,75.0,0.0,575.0,0.0,0,0.0,0.0,0.0,0,0,0.0,575.0,12900.0,19,190601,30,1
218,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,117,730.96,50.0,0.0,780.96,0.0,0,0.0,0.0,0.0,0,0,0.0,780.96,295000.0,16,160601,33,1
222,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,72,3989.76,75.0,626.0,4690.76,0.0,0,0.0,0.0,0.0,0,0,0.0,4690.76,250000.0,24,240800,26,1
223,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1,450.0,0.0,0.0,450.0,0.0,0,0.0,0.0,300.0,75,0,375.0,825.0,25000.0,6,831900,44,1
224,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11,225.0,0.0,0.0,225.0,0.0,0,0.0,0.0,0.0,0,0,0.0,225.0,17000.0,1,10201,49,1
231,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,110,1500.0,75.0,2188.0,3763.0,0.0,0,0.0,0.0,0.0,0,0,0.0,3763.0,50000.0,24,243200,1,1
235,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,62,550.0,50.0,0.0,600.0,0.0,0,0.0,0.0,0.0,0,0,0.0,600.0,20000.0,12,120400,45,1
236,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2,400.0,50.0,0.0,450.0,0.0,0,0.0,0.0,0.0,0,0,0.0,450.0,1.0,8,842200,27,1
237,PERMIT - SIGNS,SIGN PERMIT,14,200.0,200.0,0.0,400.0,0.0,0,0.0,0.0,0.0,0,0,0.0,400.0,17805.0,28,833000,27,1
240,PERMIT - SIGNS,SIGN PERMIT,18,150.0,200.0,0.0,350.0,0.0,0,0.0,0.0,0.0,0,0,0.0,350.0,20104.0,40,400800,20,1
241,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,42,552.0,50.0,0.0,602.0,0.0,0,0.0,0.0,0.0,0,0,0.0,602.0,20300.0,39,390600,4,1
244,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,13,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,34285.0,5,50200,47,1
255,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,69,2500.0,0.0,0.0,2500.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2500.0,75000.0,7,832600,43,1
257,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,50,750.0,75.0,0.0,825.0,0.0,0,0.0,0.0,0.0,0,0,0.0,825.0,350000.0,32,839100,42,1
258,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,6660.0,22,220400,32,1
265,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,42,1
267,PERMIT - SIGNS,SIGN PERMIT,11,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,2000.0,8,81202,2,1
272,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,214,750.0,50.0,250.0,1050.0,0.0,0,250.0,250.0,0.0,0,0,0.0,1300.0,80000.0,15,150401,45,1
273,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,33,1250.0,125.0,750.0,2125.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2125.0,95000.0,45,450300,8,1
275,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,128,1600.0,75.0,313.0,1988.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1988.0,50000.0,71,710500,17,1
276,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,37,500.0,50.0,0.0,550.0,0.0,0,0.0,0.0,0.0,0,0,0.0,550.0,45000.0,5,50800,32,1
279,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,290,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,42,1
282,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,2,300.0,0.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,8000.0,8,81500,42,1
286,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,42,1
288,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,86,300.0,0.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,3500.0,24,842300,42,1
289,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,21437.0,12,120400,45,1
291,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,2,1
293,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4,552.0,50.0,0.0,602.0,0.0,0,0.0,0.0,0.0,0,0,0.0,602.0,138835.0,71,710800,17,1
302,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,290,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,32,839100,42,1
315,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7,750.0,50.0,0.0,800.0,0.0,0,0.0,0.0,0.0,0,0,0.0,800.0,30000.0,5,51400,32,1
319,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,47,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,6850.0,23,231200,27,1
332,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,73,2430.35,100.0,0.0,2530.35,0.0,0,0.0,0.0,0.0,0,0,0.0,2530.35,180000.0,38,381200,4,1
335,PERMIT - SIGNS,SIGN PERMIT,42,150.0,200.0,0.0,350.0,0.0,0,0.0,0.0,0.0,0,0,0.0,350.0,5000.0,8,842200,27,1
336,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,7,802.0,50.0,0.0,852.0,0.0,0,0.0,0.0,0.0,0,0,0.0,852.0,256280.0,8,81401,42,1
340,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,10,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,14000.0,25,250400,29,1
341,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,103,1236.24,75.0,0.0,1311.24,0.0,0,0.0,0.0,0.0,0,0,0.0,1311.24,90000.0,13,130300,39,1
348,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,105,1500.0,75.0,0.0,1575.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1575.0,80000.0,61,610800,11,1
350,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,93,1428.74,150.0,0.0,1578.74,0.0,0,0.0,0.0,0.0,0,0,0.0,1578.74,95000.0,56,561000,13,1
355,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,14,750.0,75.0,0.0,825.0,0.0,0,0.0,0.0,0.0,0,0,0.0,825.0,10000.0,7,70101,43,1
357,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,125,1753.38,50.0,0.0,1803.38,0.0,0,0.0,0.0,0.0,0,0,0.0,1803.38,85000.0,50,500300,9,1
359,PERMIT - SIGNS,SIGN PERMIT,4,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,2500.0,60,839800,11,1
360,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1,600.0,50.0,0.0,650.0,0.0,0,0.0,0.0,0.0,0,0,0.0,650.0,30000.0,30,301802,22,1
363,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,93,3000.0,150.0,0.0,3150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,3150.0,97500.0,24,240500,32,1
369,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,63,1500.0,75.0,0.0,1575.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1575.0,70000.0,30,300600,22,1
370,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,266,302.0,50.0,0.0,352.0,0.0,0,0.0,0.0,0.0,0,0,0.0,352.0,4600.0,61,611900,20,1
372,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,153,612.0,75.0,0.0,687.0,0.0,0,0.0,0.0,0.0,0,0,0.0,687.0,50000.0,27,837000,27,1
373,PERMIT - ELECTRIC WIRING,ELECTRICAL PLAN REVIEW,1,125.0,0.0,0.0,125.0,0.0,0,0.0,0.0,0.0,0,0,0.0,125.0,1000.0,23,230600,26,1
377,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,24,698.96,75.0,0.0,773.96,0.0,0,0.0,0.0,0.0,0,0,0.0,773.96,50000.0,23,836700,27,1
378,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1,450.0,50.0,0.0,500.0,0.0,0,0.0,0.0,0.0,0,0,0.0,500.0,10000.0,67,671600,16,1
384,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6,300.0,50.0,0.0,350.0,0.0,0,0.0,0.0,0.0,0,0,0.0,350.0,13000.0,3,31400,46,1
390,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,14000.0,67,670800,16,1
395,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,6,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,39000.0,39,390400,4,1
398,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,215,500.0,50.0,0.0,550.0,0.0,0,0.0,0.0,0.0,0,0,0.0,550.0,90000.0,49,491200,34,1
403,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,84,450.0,0.0,0.0,450.0,0.0,0,0.0,0.0,0.0,0,0,0.0,450.0,72452.0,43,430200,5,1
406,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,44,300.0,50.0,0.0,350.0,0.0,0,0.0,0.0,0.0,0,0,0.0,350.0,12000.0,23,231500,27,1
407,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,84,1250.0,100.0,0.0,1350.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1350.0,150000.0,43,431200,8,1
417,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,71,750.0,50.0,0.0,800.0,0.0,0,0.0,0.0,0.0,0,0,0.0,800.0,150000.0,15,150700,36,1
428,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,141,2000.0,75.0,626.0,2701.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2701.0,450000.0,34,841100,25,1
431,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,18,552.0,50.0,0.0,602.0,0.0,0,0.0,0.0,0.0,0,0,0.0,602.0,45000.0,22,221200,32,1
433,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,161,500.0,75.0,625.0,1200.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1200.0,100000.0,27,837100,27,1
434,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10,302.0,50.0,0.0,352.0,0.0,0,0.0,0.0,0.0,0,0,0.0,352.0,1800.0,8,80400,2,1
445,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,34,477.0,50.0,625.0,1152.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1152.0,11000.0,67,671600,17,1
448,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,8,302.0,50.0,0.0,352.0,0.0,0,0.0,0.0,0.0,0,0,0.0,352.0,10000.0,38,381900,3,1
454,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,46,4315.95,75.0,0.0,4390.95,0.0,0,0.0,0.0,0.0,0,0,0.0,4390.95,278000.0,28,280100,42,1
458,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7,300.0,50.0,0.0,350.0,0.0,0,0.0,0.0,0.0,0,0,0.0,350.0,25000.0,61,610300,15,1
461,PERMIT - SIGNS,SIGN PERMIT,8,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,500.0,6,832000,44,1
463,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,118,475.0,50.0,0.0,525.0,0.0,0,0.0,0.0,0.0,0,0,0.0,525.0,5000.0,69,691100,6,1
465,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,31,425.0,75.0,500.0,1000.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1000.0,10000.0,61,842600,15,1
479,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5,300.0,100.0,0.0,400.0,0.0,0,0.0,0.0,0.0,0,0,0.0,400.0,30000.0,25,250700,37,1
482,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,8,302.0,50.0,0.0,352.0,0.0,0,0.0,0.0,0.0,0,0,0.0,352.0,6300.0,16,160700,33,1
484,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,3,0.0,0.0,100.0,100.0,0.0,0,1.0,1.0,0.0,0,0,0.0,101.0,20.0,44,440900,9,1
486,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,70,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,7511.0,32,839100,42,1
507,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,75,1444.5,1500.0,0.0,2944.5,0.0,0,0.0,0.0,0.0,0,0,0.0,2944.5,125000.0,8,80201,2,1
517,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,34,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,6200.0,50,500300,9,1
520,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,26,1000.0,50.0,0.0,1050.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1050.0,20000.0,8,80201,2,1
533,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,50,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,5000.0,69,690300,6,1
534,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,14,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,5397.0,70,700301,18,1
581,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10,150.0,75.0,0.0,225.0,0.0,0,0.0,0.0,0.0,0,0,0.0,225.0,3424.0,10,100500,41,1
598,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,6150.0,71,711500,21,1
600,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,28,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,2441.0,24,241400,1,1
617,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11,1327.0,50.0,0.0,1377.0,500.0,0,0.0,500.0,0.0,0,0,0.0,1877.0,3000000.0,41,411000,5,1
