,PERMIT_TYPE,REVIEW_TYPE,PROCESSING_TIME,BUILDING_FEE_PAID,ZONING_FEE_PAID,OTHER_FEE_PAID,SUBTOTAL_PAID,BUILDING_FEE_UNPAID,ZONING_FEE_UNPAID,OTHER_FEE_UNPAID,SUBTOTAL_UNPAID,BUILDING_FEE_WAIVED,ZONING_FEE_WAIVED,OTHER_FEE_WAIVED,SUBTOTAL_WAIVED,TOTAL_FEE,REPORTED_COST,COMMUNITY_AREA,CENSUS_TRACT,WARD,IS_PERMIT_VALID
4443,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,129,500.0,50.0,0.0,550.0,0.0,0,0.0,0.0,0.0,0,0,0.0,550.0,5000.0,27,837400,28,1
4445,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,298,300.0,75.0,0.0,375.0,450.0,0,0.0,450.0,0.0,0,0,0.0,825.0,258063.0,22,220300,1,1
4450,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1,175.0,0.0,0.0,175.0,0.0,0,0.0,0.0,0.0,0,0,0.0,175.0,10000.0,45,834300,8,1
4458,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,65,750.0,75.0,0.0,825.0,0.0,0,0.0,0.0,0.0,0,0,0.0,825.0,140000.0,73,730400,21,1
4465,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,62,2150.0,75.0,1878.0,4103.0,0.0,0,0.0,0.0,0.0,0,0,0.0,4103.0,300000.0,29,843300,28,1
4467,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,28,2025.0,0.0,0.0,2025.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2025.0,4000.0,8,81401,42,1
4475,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,60,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,2500.0,61,842600,11,1
4479,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,28,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,2500.0,8,81500,42,1
4482,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8,600.0,75.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,28000.0,38,380500,3,1
4483,PERMIT - SIGNS,SIGN PERMIT,63,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1500.0,22,220500,32,1
4485,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,6,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,24000.0,22,221400,1,1
4487,PERMIT - SIGNS,SIGN PERMIT,1,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,4000.0,28,281900,42,1
4490,PERMIT - SIGNS,SIGN PERMIT,363,0.0,200.0,0.0,200.0,100.0,0,0.0,100.0,0.0,0,0,0.0,300.0,3000.0,15,150200,45,1
4491,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,27,500.0,50.0,0.0,550.0,0.0,0,0.0,0.0,0.0,0,0,0.0,550.0,1100.0,46,460302,7,1
4494,PERMIT - SIGNS,SIGN PERMIT,1,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,4000.0,28,281900,42,1
4499,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,203,2000.0,75.0,313.0,2388.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2388.0,250000.0,6,61500,44,1
4500,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,15040.0,16,161100,45,1
4502,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,18500.0,16,161300,30,1
4505,PERMIT - SIGNS,SIGN PERMIT,41,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,3000.0,65,650100,23,1
4506,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,78,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,8400.0,8,81401,42,1
4507,PERMIT - SIGNS,SIGN PERMIT,1,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,250.0,65,650100,23,1
4508,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,76,750.0,75.0,0.0,825.0,0.0,0,0.0,0.0,0.0,0,0,0.0,825.0,20000.0,60,600400,11,1
4514,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,29,0.0,0.0,0.0,0.0,675.0,0,0.0,675.0,0.0,0,0,0.0,675.0,675.0,8,81500,42,1
4516,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,118,500.0,0.0,0.0,500.0,0.0,0,0.0,0.0,0.0,0,0,0.0,500.0,15000.0,5,51400,32,1
4518,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,29,500.0,75.0,0.0,575.0,0.0,0,0.0,0.0,0.0,0,0,0.0,575.0,15000.0,29,292500,24,1
4519,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,6,750.0,75.0,0.0,825.0,0.0,0,0.0,0.0,0.0,0,0,0.0,825.0,5000.0,49,490901,9,1
4525,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1,450.0,0.0,0.0,450.0,0.0,0,0.0,0.0,0.0,0,0,0.0,450.0,3623000.0,30,843500,24,1
4528,PERMIT - SIGNS,SIGN PERMIT,354,200.0,200.0,0.0,400.0,0.0,0,0.0,0.0,0.0,0,0,0.0,400.0,500.0,8,81500,42,1
4529,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,7,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,31455.0,30,301200,12,1
4530,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,13,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,12920.0,43,834200,8,1
4533,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,252,581.49,50.0,0.0,631.49,0.0,0,0.0,0.0,0.0,0,0,0.0,631.49,120000.0,6,62900,44,1
4540,PERMIT - SIGNS,SIGN PERMIT,19,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,250.0,28,833000,25,1
4542,PERMIT - SIGNS,SIGN PERMIT,183,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,13573.0,58,580502,15,1
4543,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,133,750.0,50.0,0.0,800.0,0.0,0,0.0,0.0,0.0,0,0,0.0,800.0,20524.0,22,221500,1,1
4546,PERMIT - SIGNS,SIGN PERMIT,75,400.0,200.0,0.0,600.0,0.0,0,0.0,0.0,0.0,0,0,0.0,600.0,35000.0,8,80202,2,1
4554,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,13,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,17442.0,46,460500,8,1
